Class, Fan-In
org/jfree/chart/axis/ExtendedCategoryAxis,0
org/jfree/chart/plot/dial/DialLayerChangeEvent,0
org/jfree/chart/renderer/category/ScatterRenderer,0
org/jfree/chart/axis/AxisState$1,0
org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer,0
org/jfree/chart/renderer/xy/XYStepRenderer,0
org/jfree/chart/renderer/xy/DeviationStepRenderer,0
org/jfree/data/statistics/BoxAndWhiskerXYDataset,0
org/jfree/chart/plot/compass/PinNeedle,0
org/jfree/chart/plot/compass/WindNeedle,0
org/jfree/chart/renderer/xy/XYShapeRenderer,0
org/jfree/chart/urls/TimeSeriesURLGenerator,0
org/jfree/data/Values,0
org/jfree/chart/plot/MeterPlot,0
org/jfree/chart/urls/StandardXYZURLGenerator,0
org/jfree/chart/axis/Axis$1,0
org/jfree/chart/renderer/category/GroupedStackedBarRenderer,0
org/jfree/chart/text/TextAnchor,0
org/jfree/data/xy/AbstractXYDataset,0
org/jfree/data/xy/AbstractXYZDataset,0
org/jfree/chart/block/BlockParams,0
org/jfree/chart/ChartUtils,0
org/jfree/chart/renderer/Outlier,0
org/jfree/data/DomainOrder,0
org/jfree/data/xy/DefaultXYZDataset,0
org/jfree/data/xy/VectorSeriesCollection,0
org/jfree/chart/plot/IntervalMarker,0
org/jfree/data/general/DefaultValueDataset,0
org/jfree/chart/api/RectangleAlignment,0
org/jfree/chart/axis/SubCategoryAxis,0
org/jfree/chart/entity/LegendItemEntity,0
org/jfree/chart/api/SortOrder,0
org/jfree/chart/annotations/XYPointerAnnotation,0
org/jfree/data/xy/DefaultIntervalXYDataset,0
org/jfree/chart/renderer/category/AreaRenderer,0
org/jfree/data/statistics/SimpleHistogramBin,0
org/jfree/data/xy/XYItemKey,0
org/jfree/chart/text/TextLine,0
org/jfree/data/time/SimpleTimePeriod,0
org/jfree/data/general/WaferMapDataset,0
org/jfree/chart/plot/pie/MultiplePiePlot,0
org/jfree/chart/api/RectangleAnchor,0
org/jfree/chart/renderer/xy/SamplingXYLineRenderer$State,0
org/jfree/chart/title/Title,0
org/jfree/chart/plot/pie/PieLabelLinkStyle,0
org/jfree/data/resources/DataPackageResources,0
org/jfree/chart/entity/CategoryLabelEntity,0
org/jfree/chart/entity/FlowEntity,0
org/jfree/chart/annotations/XYPolygonAnnotation,0
org/jfree/data/json/impl/package-info,0
org/jfree/chart/api/TableOrder,0
org/jfree/data/time/ohlc/OHLCSeriesCollection,0
org/jfree/data/xy/XYCoordinate,0
org/jfree/chart/plot/compass/PointerNeedle,0
org/jfree/data/time/TimePeriodAnchor,0
org/jfree/chart/plot/pie/PiePlot,0
org/jfree/chart/swing/DefaultSelectionZoomStrategy,0
org/jfree/chart/plot/CombinedRangeXYPlot,0
org/jfree/chart/axis/CategoryAnchor,0
org/jfree/chart/plot/CombinedRangeCategoryPlot,0
org/jfree/chart/swing/NumberCellRenderer,0
org/jfree/chart/title/ImageTitle,0
org/jfree/chart/entity/EntityCollection,0
org/jfree/data/time/Hour,0
org/jfree/chart/swing/editor/DefaultChartEditorFactory,0
org/jfree/chart/annotations/XYImageAnnotation,0
org/jfree/data/statistics/DefaultStatisticalCategoryDataset,0
org/jfree/chart/axis/DateTickMarkPosition,0
org/jfree/chart/axis/TickType,0
org/jfree/chart/annotations/package-info,0
org/jfree/chart/internal/ShapeUtils,0
org/jfree/chart/JFreeChart$1,0
org/jfree/chart/renderer/xy/VectorRenderer,0
org/jfree/chart/api/RectangleAlignment$1,0
org/jfree/chart/JFreeChart$2,0
org/jfree/chart/renderer/xy/XYAreaRenderer,0
org/jfree/chart/renderer/category/CategoryStepRenderer,0
org/jfree/data/xy/MatrixSeries,0
org/jfree/chart/renderer/AbstractRenderer$1,0
org/jfree/chart/renderer/xy/ClusteredXYBarRenderer,0
org/jfree/chart/entity/package-info,0
org/jfree/data/gantt/GanttCategoryDataset,0
org/jfree/chart/text/format/HMSNumberFormat,0
org/jfree/chart/labels/AbstractCategoryItemLabelGenerator,0
org/jfree/chart/plot/dial/ArcDialFrame,0
org/jfree/data/KeyedValueComparator,0
org/jfree/chart/event/MarkerChangeEvent,0
org/jfree/chart/swing/editor/StrokeChooserPanel,0
org/jfree/chart/plot/MeterInterval,0
org/jfree/chart/swing/editor/DefaultTitleEditor,0
org/jfree/data/xy/IntervalXYDelegate,0
org/jfree/chart/plot/dial/DialTextAnnotation,0
org/jfree/chart/plot/XYCrosshairState,0
org/jfree/data/general/AbstractSeriesDataset,0
org/jfree/chart/axis/MarkerAxisBand,0
org/jfree/chart/labels/MultipleXYSeriesLabelGenerator,0
org/jfree/chart/entity/XYItemEntity,0
org/jfree/chart/renderer/xy/XYBlockRenderer,0
org/jfree/chart/annotations/XYLineAnnotation,0
org/jfree/chart/plot/package-info,0
org/jfree/chart/swing/editor/FontChooserPanel,0
org/jfree/chart/plot/compass/PlumNeedle,0
org/jfree/chart/block/FlowArrangement,0
org/jfree/chart/plot/compass/LongNeedle,0
org/jfree/chart/renderer/xy/YIntervalRenderer,0
org/jfree/data/xy/XIntervalSeriesCollection,0
org/jfree/chart/renderer/category/MinMaxCategoryRenderer$2,0
org/jfree/chart/renderer/category/MinMaxCategoryRenderer$1,0
org/jfree/chart/plot/PlotOrientation,0
org/jfree/data/xy/YisSymbolic,0
org/jfree/chart/swing/editor/StrokeSample,0
org/jfree/chart/labels/CustomXYToolTipGenerator,0
org/jfree/chart/internal/ArrayUtils,0
org/jfree/chart/util/package-info,0
org/jfree/data/statistics/MultiValueCategoryDataset,0
org/jfree/chart/title/DateTitle,0
org/jfree/chart/util/GradientPaintTransformType,0
org/jfree/chart/block/LineBorder,0
org/jfree/chart/renderer/xy/CandlestickRenderer,0
org/jfree/chart/axis/CategoryLabelWidthType,0
org/jfree/chart/labels/SymbolicXYItemLabelGenerator,0
org/jfree/chart/labels/StandardFlowLabelGenerator,0
org/jfree/data/xy/YWithXInterval,0
org/jfree/chart/annotations/TextAnnotation,0
org/jfree/chart/renderer/xy/HighLowRenderer,0
org/jfree/data/time/FixedMillisecond,0
org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset,0
org/jfree/chart/plot/WaferMapPlot,0
org/jfree/chart/urls/package-info,0
org/jfree/chart/api/RectangleAnchor$1,0
org/jfree/chart/axis/ValueAxis,0
org/jfree/chart/labels/StandardCategoryItemLabelGenerator,0
org/jfree/chart/axis/CyclicNumberAxis,0
org/jfree/chart/plot/PolarAxisLocation,0
org/jfree/data/DefaultKeyedValue,0
org/jfree/data/statistics/HistogramBin,0
org/jfree/chart/ChartRenderingInfo,0
org/jfree/chart/legend/LegendItem,0
org/jfree/chart/axis/StandardTickUnitSource,0
org/jfree/data/xy/YInterval,0
org/jfree/chart/renderer/xy/SamplingXYLineRenderer,0
org/jfree/data/function/PowerFunction2D,0
org/jfree/data/category/SlidingCategoryDataset,0
org/jfree/chart/plot/CombinedDomainCategoryPlot,0
org/jfree/chart/renderer/NotOutlierException,0
org/jfree/data/statistics/BoxAndWhiskerCategoryDataset,0
org/jfree/chart/entity/JFreeChartEntity,0
org/jfree/chart/block/BlockContainer,0
org/jfree/chart/plot/XYPlot,0
org/jfree/chart/renderer/AbstractRenderer,0
org/jfree/chart/renderer/xy/StackedXYAreaRenderer2,0
org/jfree/data/KeyedObjects,0
org/jfree/data/statistics/SimpleHistogramDataset,0
org/jfree/data/time/TimeSeriesCollection,0
org/jfree/chart/renderer/xy/StackedXYAreaRenderer,0
org/jfree/chart/text/format/LogFormat,0
org/jfree/data/KeyedValues2DItemKey,0
org/jfree/chart/axis/DateTick,0
org/jfree/chart/api/XYCoordinateType,0
org/jfree/chart/annotations/XYShapeAnnotation,0
org/jfree/data/gantt/TaskSeries,0
org/jfree/data/category/CategoryDataset,0
org/jfree/data/resources/DataPackageResources_ru,0
org/jfree/data/xy/XYIntervalSeriesCollection,0
org/jfree/data/ComparableObjectSeries,0
org/jfree/data/flow/NodeKey,0
org/jfree/chart/api/HorizontalAlignment,0
org/jfree/chart/axis/AxisSpace,0
org/jfree/chart/renderer/xy/StackedXYBarRenderer,0
org/jfree/chart/util/ExportUtils,0
org/jfree/data/statistics/HistogramDataset,0
org/jfree/chart/title/ShortTextTitle,0
org/jfree/chart/ChartHints,0
org/jfree/chart/urls/CustomXYURLGenerator,0
org/jfree/chart/event/TitleChangeEvent,0
org/jfree/chart/imagemap/package-info,0
